"Course","Predictionlass","Actual","SEC_NAME","PY","Residuallass","Residual2lass","TERM","Predictionrf","Residualrf","Residual2rf","Predictionxg","Residualxg","Residual2xg","Predictionmean","Residualmean","Residual2mean","Dept","DayPat"
"ANT-102",25,24,"ANT-102-01",20,1,-1,"2018FA",24,0,0,26,2,-2,25,1,-1,"ANT","OL"
"ANT-103",18,15,"ANT-103-01",10,3,-3,"2018FA",14,1,1,13,2,2,15,0,0,"ANT","TUETHU"
"ANT-107",25,24,"ANT-107-01",17,1,-1,"2018FA",22,2,2,22,2,2,23,1,1,"ANT","OL"
"ART-101",13,12,"ART-101-01",16,1,-1,"2018FA",13,1,-1,17,5,-5,14,2,-2,"ART","TUETHU"
"ART-111",9,22,"ART-111-01",7,13,13,"2018FA",10,12,12,8,14,14,9,13,13,"ART","MONWED"
"ART-114",18,11,"ART-114-01",18,7,-7,"2018FA",17,6,-6,17,6,-6,17,6,-6,"ART","MONWED"
"ART-119A",10,20,"ART-119A-01",4,10,10,"2018FA",9,11,11,8,12,12,9,11,11,"ART","MONWED"
"ART-119A",8,11,"ART-119A-02",8,3,3,"2018FA",9,2,2,12,1,-1,10,1,1,"ART","TUETHU"
"ART-119B",4,3,"ART-119B-01",1,1,-1,"2018FA",2,1,1,2,1,1,3,0,0,"ART","MONWED"
"ART-119B",1,2,"ART-119B-02",1,1,1,"2018FA",2,0,0,2,0,0,2,0,0,"ART","TUETHU"
"ART-120A",4,5,"ART-120A-01",2,1,1,"2018FA",3,2,2,3,2,2,3,2,2,"ART","TUETHU"
"ART-120B",3,2,"ART-120B-01",3,1,-1,"2018FA",3,1,-1,3,1,-1,3,1,-1,"ART","TUETHU"
"ART-135A",10,8,"ART-135A-01",8,2,-2,"2018FA",12,4,-4,13,5,-5,12,4,-4,"ART","OL"
"ART-142",10,8,"ART-142-01",8,2,-2,"2018FA",10,2,-2,11,3,-3,10,2,-2,"ART","MONWED"
"ART-146",13,7,"ART-146-01",16,6,-6,"2018FA",12,5,-5,10,3,-3,12,5,-5,"ART","WEDTHU"
"ART-211",9,6,"ART-211-01",5,3,-3,"2018FA",9,3,-3,9,3,-3,9,3,-3,"ART","TUETHU"
"ART-212",2,3,"ART-212-01",1,1,1,"2018FA",4,1,-1,2,1,1,3,0,0,"ART","TUETHU"
"ART-213",8,11,"ART-213-01",7,3,3,"2018FA",10,1,1,9,2,2,9,2,2,"ART","MONWED"
"ASL-101",23,25,"ASL-101-01",23,2,2,"2018FA",20,5,5,22,3,3,22,3,3,"ASL","MONWED"
"BIO-101",10,21,"BIO-101-02",15,11,11,"2018FA",13,8,8,19,2,2,14,7,7,"BIO","TUETHU"
"BIO-110",19,22,"BIO-110-01",18,3,3,"2018FA",19,3,3,18,4,4,19,3,3,"BIO","MONWED"
"BIO-149",11,8,"BIO-149-01",8,3,-3,"2018FA",10,2,-2,5,3,3,9,1,-1,"BIO","MONWED"
"BIO-203",15,11,"BIO-203-01",18,4,-4,"2018FA",14,3,-3,16,5,-5,15,4,-4,"BIO","TUETHU"
"BIO-203",12,9,"BIO-203-02",16,3,-3,"2018FA",13,4,-4,13,4,-4,13,4,-4,"BIO","TUEWEDTHU"
"BIO-203",11,12,"BIO-203-03",4,1,1,"2018FA",9,3,3,11,1,1,10,2,2,"BIO","TUETHU"
"BIO-203",10,8,"BIO-203-04",7,2,-2,"2018FA",11,3,-3,13,5,-5,11,3,-3,"BIO","TUEWEDTHU"
"BIO-203",10,12,"BIO-203-06",10,2,2,"2018FA",10,2,2,12,0,0,11,1,1,"BIO","TUETHU"
"BIO-210",15,20,"BIO-210-01",14,5,5,"2018FA",13,7,7,13,7,7,14,6,6,"BIO","MONWEDFRI"
"BSN-100",23,20,"BSN-100-01",31,3,-3,"2018FA",23,3,-3,26,6,-6,24,4,-4,"BSN","MONWED"
"BSN-100",26,30,"BSN-100-02",26,4,4,"2018FA",26,4,4,24,6,6,25,5,5,"BSN","OL"
"BSN-101A",15,15,"BSN-101A-01",18,0,0,"2018FA",14,1,1,12,3,3,14,1,1,"BSN","MONWED"
"BSN-102",15,13,"BSN-102-01",14,2,-2,"2018FA",12,1,1,12,1,1,13,0,0,"BSN","MONWED"
"BSN-110A",27,21,"BSN-110A-01",31,6,-6,"2018FA",27,6,-6,29,8,-8,28,7,-7,"BSN","TUETHU"
"BSN-110C",16,11,"BSN-110C-01",12,5,-5,"2018FA",13,2,-2,11,0,0,13,2,-2,"BSN","OL"
"BSN-117",11,8,"BSN-117-01",9,3,-3,"2018FA",13,5,-5,12,4,-4,12,4,-4,"BSN","OL"
"BSN-125",20,21,"BSN-125-01",25,1,1,"2018FA",24,3,-3,23,2,-2,22,1,-1,"BSN","OL"
"BSN-210",13,10,"BSN-210-01",12,3,-3,"2018FA",11,1,-1,12,2,-2,12,2,-2,"BSN","OL"
"CHM-101",18,15,"CHM-101-01",16,3,-3,"2018FA",17,2,-2,14,1,1,16,1,-1,"CHM","MONTUEWEDTHU"
"CHM-101",20,19,"CHM-101-02",20,1,-1,"2018FA",19,0,0,19,0,0,19,0,0,"CHM","TUETHU"
"CHM-116",16,12,"CHM-116-01",10,4,-4,"2018FA",12,0,0,14,2,-2,14,2,-2,"CHM","MONWED"
"COU-108",20,11,"COU-108-01",21,9,-9,"2018FA",17,6,-6,21,10,-10,19,8,-8,"COU","OL"
"CRJ-101",22,26,"CRJ-101-01",16,4,4,"2018FA",20,6,6,25,1,1,22,4,4,"CRJ","OL"
"CRJ-103",21,15,"CRJ-103-01",19,6,-6,"2018FA",21,6,-6,20,5,-5,21,6,-6,"CRJ","OL"
"CRJ-108",16,9,"CRJ-108-01",6,7,-7,"2018FA",8,1,1,8,1,1,11,2,-2,"CRJ","OL"
"CRJ-110",10,8,"CRJ-110-01",11,2,-2,"2018FA",12,4,-4,10,2,-2,11,3,-3,"CRJ","OL"
"CUL-101",9,7,"CUL-101-01",7,2,-2,"2018FA",11,4,-4,11,4,-4,10,3,-3,"CUL","MON"
"CUL-102",11,11,"CUL-102-01",7,0,0,"2018FA",10,1,1,10,1,1,10,1,1,"CUL","MONWED"
"CUL-172D",19,9,"CUL-172D-01",11,10,-10,"2018FA",12,3,-3,17,8,-8,16,7,-7,"CUL","FRI"
"DMA-112",12,10,"DMA-112-01",13,2,-2,"2018FA",16,6,-6,13,3,-3,14,4,-4,"DMA","OL"
"ECE-102",11,7,"ECE-102-01",9,4,-4,"2018FA",12,5,-5,11,4,-4,11,4,-4,"ECE","MONWED"
"ECE-102",14,13,"ECE-102-02",10,1,-1,"2018FA",14,1,-1,19,6,-6,16,3,-3,"ECE","OL"
"ECO-101",17,17,"ECO-101-01",14,0,0,"2018FA",13,4,4,10,7,7,13,4,4,"ECO","TUETHU"
"ECO-102",25,31,"ECO-102-01",24,6,6,"2018FA",25,6,6,28,3,3,26,5,5,"ECO","OL"
"ENG-101",17,22,"ENG-101-01",24,5,5,"2018FA",19,3,3,25,3,-3,20,2,2,"ENG","TUETHU"
"ENG-101",18,23,"ENG-101-02",21,5,5,"2018FA",17,6,6,11,12,12,15,8,8,"ENG","MONWED"
"ENG-101",14,27,"ENG-101-03",11,13,13,"2018FA",15,12,12,15,12,12,15,12,12,"ENG","MONWED"
"ENG-101",17,24,"ENG-101-04",16,7,7,"2018FA",16,8,8,20,4,4,18,6,6,"ENG","MONWED"
"ENG-101",18,20,"ENG-101-05",15,2,2,"2018FA",16,4,4,15,5,5,16,4,4,"ENG","OL"
"ENG-101",15,18,"ENG-101-06",6,3,3,"2018FA",14,4,4,14,4,4,14,4,4,"ENG","OL"
"ENG-101",13,21,"ENG-101-07",16,8,8,"2018FA",14,7,7,14,7,7,14,7,7,"ENG","TUETHU"
"ENG-103",21,17,"ENG-103-01",25,4,-4,"2018FA",18,1,-1,19,2,-2,19,2,-2,"ENG","MONWED"
"ENG-103",16,24,"ENG-103-02",7,8,8,"2018FA",16,8,8,23,1,1,18,6,6,"ENG","TUETHU"
"ENG-103",20,21,"ENG-103-04",19,1,1,"2018FA",20,1,1,23,2,-2,21,0,0,"ENG","OL"
"ENG-152",16,18,"ENG-152-01",21,2,2,"2018FA",15,3,3,17,1,1,16,2,2,"ENG","MONWED"
"ENG-158",5,7,"ENG-158-01",8,2,2,"2018FA",9,2,-2,11,4,-4,8,1,-1,"ENG","TUETHU"
"ENG-200",12,4,"ENG-200-01",9,8,-8,"2018FA",11,7,-7,9,5,-5,11,7,-7,"ENG","MONWED"
"EVS-105",10,7,"EVS-105-01",10,3,-3,"2018FA",11,4,-4,12,5,-5,11,4,-4,"EVS","WED"
"FIR-101",11,5,"FIR-101-01",11,6,-6,"2018FA",11,6,-6,10,5,-5,11,6,-6,"FIR","THU"
"FIR-170A",24,26,"FIR-170A-01",22,2,2,"2018FA",22,4,4,21,5,5,22,4,4,"FIR","MONSAT"
"GEG-103",14,13,"GEG-103-01",7,1,-1,"2018FA",12,1,1,11,2,2,12,1,1,"GEG","MONWED"
"GEL-102",22,30,"GEL-102-01",24,8,8,"2018FA",20,10,10,22,8,8,21,9,9,"GEL","MONWED"
"GEL-110",24,27,"GEL-110-01",27,3,3,"2018FA",26,1,1,30,3,-3,27,0,0,"GEL","OL"
"GES-188",15,11,"GES-188-01",17,4,-4,"2018FA",13,2,-2,11,0,0,13,2,-2,"GES","OL"
"HEA-106",8,4,"HEA-106-01",5,4,-4,"2018FA",9,5,-5,8,4,-4,8,4,-4,"HEA","MONWED"
"HEA-108",1,1,"HEA-108-01",2,0,0,"2018FA",2,1,-1,2,1,-1,2,1,-1,"HEA","MON"
"HEA-140C",22,22,"HEA-140C-01",25,0,0,"2018FA",23,1,-1,20,2,2,22,0,0,"HEA","TUETHU"
"HEA-142A",10,11,"HEA-142A-01",7,1,1,"2018FA",10,1,1,12,1,-1,11,0,0,"HEA","TUEWEDTHU"
"HIS-111",24,19,"HIS-111-01",19,5,-5,"2018FA",22,3,-3,20,1,-1,22,3,-3,"HIS","MONWED"
"HIS-127A",17,13,"HIS-127A-01",15,4,-4,"2018FA",17,4,-4,13,0,0,16,3,-3,"HIS","OL"
"MAT-103A",18,15,"MAT-103A-01",19,3,-3,"2018FA",19,4,-4,26,11,-11,21,6,-6,"MAT","MONWED"
"MAT-105",31,26,"MAT-105-01",30,5,-5,"2018FA",26,0,0,31,5,-5,29,3,-3,"MAT","MONWEDFRI"
"MAT-152A",8,10,"MAT-152A-01",7,2,2,"2018FA",8,2,2,8,2,2,8,2,2,"MAT","TUE"
"MAT-152A",12,16,"MAT-152A-02",9,4,4,"2018FA",12,4,4,11,5,5,12,4,4,"MAT","TUETHU"
"MAT-152A",14,15,"MAT-152A-03",13,1,1,"2018FA",14,1,1,15,0,0,14,1,1,"MAT","MONWED"
"MAT-152A",10,9,"MAT-152A-05",4,1,-1,"2018FA",9,0,0,10,1,-1,10,1,-1,"MAT","TUETHU"
"MAT-152B",9,7,"MAT-152B-01",5,2,-2,"2018FA",7,0,0,6,1,1,7,0,0,"MAT","TUE"
"MAT-152B",15,9,"MAT-152B-02",20,6,-6,"2018FA",16,7,-7,13,4,-4,15,6,-6,"MAT","MONWED"
"MAT-152B",13,9,"MAT-152B-03",7,4,-4,"2018FA",13,4,-4,10,1,-1,12,3,-3,"MAT","MONWED"
"MAT-153",10,5,"MAT-153-01",8,5,-5,"2018FA",11,6,-6,8,3,-3,10,5,-5,"MAT","MONWED"
"MAT-154A",11,9,"MAT-154A-01",11,2,-2,"2018FA",9,0,0,9,0,0,10,1,-1,"MAT","TUE"
"MAT-154A",16,11,"MAT-154A-02",16,5,-5,"2018FA",18,7,-7,20,9,-9,18,7,-7,"MAT","MONWED"
"MAT-154A",17,13,"MAT-154A-03",18,4,-4,"2018FA",18,5,-5,16,3,-3,17,4,-4,"MAT","MONWED"
"MAT-154A",17,28,"MAT-154A-04",22,11,11,"2018FA",20,8,8,21,7,7,19,9,9,"MAT","TUETHU"
"MAT-187",17,11,"MAT-187-01",17,6,-6,"2018FA",15,4,-4,15,4,-4,16,5,-5,"MAT","TUETHU"
"MAT-187",12,10,"MAT-187-04",7,2,-2,"2018FA",14,4,-4,8,2,2,11,1,-1,"MAT","MONWED"
"MAT-201",15,17,"MAT-201-01",17,2,2,"2018FA",17,0,0,12,5,5,15,2,2,"MAT","MONWEDFRI"
"MAT-201",22,19,"MAT-201-02",16,3,-3,"2018FA",18,1,1,20,1,-1,20,1,-1,"MAT","OL"
"MAT-201",22,21,"MAT-201-03",19,1,-1,"2018FA",18,3,3,20,1,1,20,1,1,"MAT","OL"
"MAT-202",15,13,"MAT-202-01",14,2,-2,"2018FA",13,0,0,11,2,2,13,0,0,"MAT","MONWEDFRI"
"MOA-235",15,7,"MOA-235-01",16,8,-8,"2018FA",20,13,-13,18,11,-11,18,11,-11,"MOA","OL"
"MOA-238",25,27,"MOA-238-01",25,2,2,"2018FA",24,3,3,25,2,2,25,2,2,"MOA","OL"
"MUS-101",25,21,"MUS-101-01",25,4,-4,"2018FA",23,2,-2,24,3,-3,24,3,-3,"MUS","OL"
"MUS-135",9,13,"MUS-135-01",8,4,4,"2018FA",11,2,2,13,0,0,11,2,2,"MUS","TUE"
"MUS-136",6,3,"MUS-136-01",5,3,-3,"2018FA",6,3,-3,7,4,-4,6,3,-3,"MUS","TUE"
"MUS-141A",10,8,"MUS-141A-01",9,2,-2,"2018FA",10,2,-2,11,3,-3,10,2,-2,"MUS","TUE"
"MUS-248A",17,14,"MUS-248A-01",19,3,-3,"2018FA",17,3,-3,17,3,-3,17,3,-3,"MUS","WED"
"PEA-101C",36,31,"PEA-101C-01",34,5,-5,"2018FA",36,5,-5,34,3,-3,35,4,-4,"PEA","MONTUEWEDTHUFRI"
"PEA-101D",21,24,"PEA-101D-01",20,3,3,"2018FA",20,4,4,19,5,5,20,4,4,"PEA","MONTUEWEDTHUFRI"
"PEF-100G",11,20,"PEF-100G-01",8,9,9,"2018FA",12,8,8,12,8,8,12,8,8,"PEF","MONWED"
"PEF-120A",18,19,"PEF-120A-01",18,1,1,"2018FA",18,1,1,15,4,4,17,2,2,"PEF","OL"
"PEF-120B",24,22,"PEF-120B-01",29,2,-2,"2018FA",24,2,-2,23,1,-1,24,2,-2,"PEF","OL"
"PEF-120C",9,3,"PEF-120C-01",4,6,-6,"2018FA",8,5,-5,8,5,-5,8,5,-5,"PEF","OL"
"PEF-121A",14,6,"PEF-121A-01",14,8,-8,"2018FA",16,10,-10,12,6,-6,14,8,-8,"PEF","OL"
"PEF-121B",13,8,"PEF-121B-01",15,5,-5,"2018FA",15,7,-7,16,8,-8,15,7,-7,"PEF","OL"
"PEF-121C",6,4,"PEF-121C-01",3,2,-2,"2018FA",6,2,-2,3,1,1,5,1,-1,"PEF","OL"
"PEF-123B",6,3,"PEF-123B-01",12,3,-3,"2018FA",10,7,-7,9,6,-6,8,5,-5,"PEF","TUETHU"
"PEF-123F",5,3,"PEF-123F-01",6,2,-2,"2018FA",6,3,-3,6,3,-3,6,3,-3,"PEF","TUETHU"
"PEF-124B",9,1,"PEF-124B-01",9,8,-8,"2018FA",7,6,-6,6,5,-5,7,6,-6,"PEF","TUETHU"
"PEF-124D",3,2,"PEF-124D-01",4,1,-1,"2018FA",4,2,-2,5,3,-3,4,2,-2,"PEF","TUETHU"
"PEF-124F",4,1,"PEF-124F-01",4,3,-3,"2018FA",3,2,-2,3,2,-2,3,2,-2,"PEF","TUETHU"
"PEF-125B",7,6,"PEF-125B-01",8,1,-1,"2018FA",7,1,-1,6,0,0,7,1,-1,"PEF","TUETHU"
"PEF-125C",6,3,"PEF-125C-01",1,3,-3,"2018FA",3,0,0,2,1,1,4,1,-1,"PEF","TUETHU"
"PEF-125E",3,1,"PEF-125E-01",1,2,-2,"2018FA",2,1,-1,2,1,-1,2,1,-1,"PEF","TUETHU"
"PEF-125F",3,1,"PEF-125F-01",2,2,-2,"2018FA",3,2,-2,4,3,-3,3,2,-2,"PEF","TUETHU"
"PEF-140A",12,15,"PEF-140A-01",6,3,3,"2018FA",11,4,4,10,5,5,11,4,4,"PEF","TUETHU"
"PEF-140B",5,4,"PEF-140B-01",2,1,-1,"2018FA",5,1,-1,6,2,-2,5,1,-1,"PEF","TUETHU"
"PEH-101",19,27,"PEH-101-01",15,8,8,"2018FA",17,10,10,18,9,9,18,9,9,"PEH","MONWED"
"PEH-101",26,22,"PEH-101-02",30,4,-4,"2018FA",26,4,-4,29,7,-7,27,5,-5,"PEH","OL"
"PHI-101",15,19,"PHI-101-01",13,4,4,"2018FA",17,2,2,18,1,1,17,2,2,"PHI","OL"
"PHS-111",18,14,"PHS-111-01",17,4,-4,"2018FA",17,3,-3,15,1,-1,17,3,-3,"PHS","TUETHU"
"PHY-104",12,9,"PHY-104-01",6,3,-3,"2018FA",9,0,0,3,6,6,8,1,1,"PHY","MONWEDFRI"
"PHY-207",11,12,"PHY-207-01",12,1,1,"2018FA",10,2,2,8,4,4,10,2,2,"PHY","MONWEDFRI"
"POL-101",22,20,"POL-101-01",25,2,-2,"2018FA",23,3,-3,16,4,4,20,0,0,"POL","TUETHU"
"POL-101",23,23,"POL-101-03",26,0,0,"2018FA",26,3,-3,21,2,2,23,0,0,"POL","OL"
"PSY-101",27,35,"PSY-101-01",29,8,8,"2018FA",27,8,8,33,2,2,29,6,6,"PSY","TUETHU"
"PSY-101",29,26,"PSY-101-02",32,3,-3,"2018FA",29,3,-3,27,1,-1,28,2,-2,"PSY","OL"
"PSY-101",27,30,"PSY-101-03",25,3,3,"2018FA",26,4,4,29,1,1,27,3,3,"PSY","OL"
"PSY-101",23,29,"PSY-101-04",14,6,6,"2018FA",21,8,8,22,7,7,22,7,7,"PSY","OL"
"PSY-102",17,22,"PSY-102-01",22,5,5,"2018FA",17,5,5,15,7,7,16,6,6,"PSY","MONWED"
"PSY-102",20,23,"PSY-102-02",20,3,3,"2018FA",19,4,4,20,3,3,20,3,3,"PSY","OL"
"PSY-104",19,26,"PSY-104-01",26,7,7,"2018FA",25,1,1,23,3,3,22,4,4,"PSY","OL"
"PSY-106",15,14,"PSY-106-01",9,1,-1,"2018FA",15,1,-1,14,0,0,15,1,-1,"PSY","OL"
"PSY-107",14,16,"PSY-107-01",13,2,2,"2018FA",14,2,2,13,3,3,14,2,2,"PSY","OL"
"PSY-202",18,23,"PSY-202-01",19,5,5,"2018FA",18,5,5,23,0,0,20,3,3,"PSY","OL"
"PSY-210",16,12,"PSY-210-01",17,4,-4,"2018FA",17,5,-5,15,3,-3,16,4,-4,"PSY","OL"
"REL-103",13,19,"REL-103-01",9,6,6,"2018FA",14,5,5,16,3,3,14,5,5,"REL","OL"
"RES-151",20,27,"RES-151-01",16,7,7,"2018FA",18,9,9,16,11,11,18,9,9,"RES","OL"
"RES-155",10,16,"RES-155-01",8,6,6,"2018FA",11,5,5,11,5,5,11,5,5,"RES","OL"
"SOC-101",28,27,"SOC-101-01",31,1,-1,"2018FA",26,1,1,32,5,-5,29,2,-2,"SOC","OL"
"SOC-102",11,19,"SOC-102-01",13,8,8,"2018FA",14,5,5,10,9,9,12,7,7,"SOC","OL"
"SOC-103",15,18,"SOC-103-01",10,3,3,"2018FA",14,4,4,15,3,3,15,3,3,"SOC","OL"
"SPA-101",18,24,"SPA-101-01",26,6,6,"2018FA",20,4,4,17,7,7,18,6,6,"SPA","TUETHU"
"SPA-101",24,23,"SPA-101-02",24,1,-1,"2018FA",23,0,0,23,0,0,23,0,0,"SPA","OL"
"SPA-101",20,25,"SPA-101-03",11,5,5,"2018FA",18,7,7,15,10,10,18,7,7,"SPA","OL"
"SPA-101",21,29,"SPA-101-04",18,8,8,"2018FA",18,11,11,18,11,11,19,10,10,"SPA","OL"
"SPA-102",31,33,"SPA-102-01",33,2,2,"2018FA",30,3,3,32,1,1,31,2,2,"SPA","OL"
"SPA-102",30,33,"SPA-102-02",31,3,3,"2018FA",28,5,5,31,2,2,30,3,3,"SPA","OL"
"SPA-103",28,30,"SPA-103-01",27,2,2,"2018FA",25,5,5,25,5,5,26,4,4,"SPA","OL"
"SPA-201",28,34,"SPA-201-01",36,6,6,"2018FA",29,5,5,31,3,3,29,5,5,"SPA","OL"
"SPA-201",23,33,"SPA-201-02",17,10,10,"2018FA",18,15,15,20,13,13,20,13,13,"SPA","OL"
"SPE-101",21,25,"SPE-101-01",17,4,4,"2018FA",17,8,8,23,2,2,20,5,5,"SPE","TUETHU"
"SPE-101",22,35,"SPE-101-02",25,13,13,"2018FA",22,13,13,27,8,8,24,11,11,"SPE","MONWED"
"SPE-102",17,18,"SPE-102-01",21,1,1,"2018FA",18,0,0,17,1,1,17,1,1,"SPE","OL"
"THE-112C",12,15,"THE-112C-01",11,3,3,"2018FA",14,1,1,15,0,0,14,1,1,"THE","OL"
"WLD-100",12,7,"WLD-100-01",11,5,-5,"2018FA",11,4,-4,10,3,-3,11,4,-4,"WLD","TUETHU"
"WLD-104",9,8,"WLD-104-01",5,1,-1,"2018FA",8,0,0,8,0,0,8,0,0,"WLD","MONTHUFRISATSUN"
"WLD-107B",15,19,"WLD-107B-01",17,4,4,"2018FA",14,5,5,16,3,3,15,4,4,"WLD","WEDTHUFRISATSUN"
"WLD-112C",11,9,"WLD-112C-01",11,2,-2,"2018FA",12,3,-3,10,1,-1,11,2,-2,"WLD","SATSUN"
"WLD-112D",8,11,"WLD-112D-01",8,3,3,"2018FA",12,1,-1,18,7,-7,13,2,-2,"WLD","FRISATSUN"
"WLD-120A",11,9,"WLD-120A-01",13,2,-2,"2018FA",12,3,-3,12,3,-3,12,3,-3,"WLD","WEDFRISAT"
"WLD-120B",11,12,"WLD-120B-01",6,1,1,"2018FA",10,2,2,10,2,2,10,2,2,"WLD","FRISATSUN"
"WLD-120C",7,9,"WLD-120C-01",2,2,2,"2018FA",6,3,3,10,1,-1,8,1,1,"WLD","FRISATSUN"
"ANT-102",25,19,"ANT-102-01",29,6,-6,"2018SU",26,7,-7,27,8,-8,26,7,-7,"ANT","OL"
"ANT-103",18,25,"ANT-103-01",17,7,7,"2018SU",19,6,6,24,1,1,20,5,5,"ANT","OL"
"ANT-107",27,28,"ANT-107-01",35,1,1,"2018SU",29,1,-1,35,7,-7,30,2,-2,"ANT","OL"
"ANT-108",16,14,"ANT-108-01",14,2,-2,"2018SU",16,2,-2,15,1,-1,16,2,-2,"ANT","OL"
"ART-145B",9,7,"ART-145B-01",8,2,-2,"2018SU",8,1,-1,7,0,0,8,1,-1,"ART","SATSUN"
"ART-209A",9,16,"ART-209A-01",6,7,7,"2018SU",7,9,9,5,11,11,7,9,9,"ART","MONTUEWEDTHUFRI"
"ART-209B",8,4,"ART-209B-01",5,4,-4,"2018SU",5,1,-1,5,1,-1,6,2,-2,"ART","MONTUEWEDTHUFRI"
"BIO-110",13,19,"BIO-110-01",10,6,6,"2018SU",12,7,7,11,8,8,12,7,7,"BIO","MONWED"
"BIO-111",13,21,"BIO-111-01",10,8,8,"2018SU",12,9,9,13,8,8,13,8,8,"BIO","OL"
"BSN-100",18,18,"BSN-100-01",17,0,0,"2018SU",16,2,2,12,6,6,15,3,3,"BSN","OL"
"COU-146",31,28,"COU-146-01",42,3,-3,"2018SU",34,6,-6,32,4,-4,32,4,-4,"COU","MONTUEWEDTHUFRI"
"CRJ-112",16,12,"CRJ-112-01",16,4,-4,"2018SU",14,2,-2,13,1,-1,14,2,-2,"CRJ","OL"
"ECE-102",16,11,"ECE-102-01",15,5,-5,"2018SU",16,5,-5,14,3,-3,15,4,-4,"ECE","OL"
"ECO-101",20,18,"ECO-101-01",17,2,-2,"2018SU",23,5,-5,24,6,-6,22,4,-4,"ECO","OL"
"ECO-102",19,24,"ECO-102-01",16,5,5,"2018SU",20,4,4,20,4,4,20,4,4,"ECO","OL"
"ENG-101",16,19,"ENG-101-01",19,3,3,"2018SU",17,2,2,21,2,-2,18,1,1,"ENG","OL"
"ENG-103",21,22,"ENG-103-01",26,1,1,"2018SU",21,1,1,18,4,4,20,2,2,"ENG","OL"
"GEG-102",13,13,"GEG-102-01",10,0,0,"2018SU",13,0,0,13,0,0,13,0,0,"GEG","OL"
"GEL-103",17,32,"GEL-103-01",14,15,15,"2018SU",17,15,15,20,12,12,18,14,14,"GEL","OL"
"HUM-105",20,28,"HUM-105-01",20,8,8,"2018SU",23,5,5,24,4,4,22,6,6,"HUM","OL"
"MOA-240",11,7,"MOA-240-01",5,4,-4,"2018SU",10,3,-3,4,3,3,8,1,-1,"MOA","OL"
"MUS-101",23,20,"MUS-101-01",28,3,-3,"2018SU",25,5,-5,24,4,-4,24,4,-4,"MUS","OL"
"MUS-104F",12,11,"MUS-104F-01",10,1,-1,"2018SU",12,1,-1,11,0,0,12,1,-1,"MUS","OL"
"PEA-100A",30,28,"PEA-100A-01",36,2,-2,"2018SU",36,8,-8,34,6,-6,33,5,-5,"PEA","MONTUEWEDTHUFRI"
"PEA-101A",29,30,"PEA-101A-01",35,1,1,"2018SU",35,5,-5,30,0,0,31,1,-1,"PEA","MONTUEWEDTHUFRI"
"PEA-101B",19,24,"PEA-101B-01",22,5,5,"2018SU",21,3,3,23,1,1,21,3,3,"PEA","MONTUEWEDTHUFRI"
"PEF-120A",16,5,"PEF-120A-01",16,11,-11,"2018SU",15,10,-10,11,6,-6,14,9,-9,"PEF","OL"
"PEF-120B",7,7,"PEF-120B-01",1,0,0,"2018SU",8,1,-1,8,1,-1,8,1,-1,"PEF","OL"
"PEF-120C",9,3,"PEF-120C-01",8,6,-6,"2018SU",7,4,-4,5,2,-2,7,4,-4,"PEF","OL"
"PEF-121A",11,12,"PEF-121A-01",11,1,1,"2018SU",9,3,3,8,4,4,9,3,3,"PEF","OL"
"PEF-121B",8,1,"PEF-121B-01",5,7,-7,"2018SU",6,5,-5,3,2,-2,6,5,-5,"PEF","OL"
"PEF-121C",5,3,"PEF-121C-01",2,2,-2,"2018SU",3,0,0,2,1,1,3,0,0,"PEF","OL"
"PEH-101",23,33,"PEH-101-01",27,10,10,"2018SU",21,12,12,21,12,12,22,11,11,"PEH","OL"
"PHI-101",20,25,"PHI-101-01",20,5,5,"2018SU",23,2,2,22,3,3,22,3,3,"PHI","OL"
"PSY-101",26,31,"PSY-101-01",30,5,5,"2018SU",28,3,3,26,5,5,27,4,4,"PSY","OL"
"PSY-102",18,22,"PSY-102-01",18,4,4,"2018SU",19,3,3,23,1,-1,20,2,2,"PSY","OL"
"PSY-202",14,18,"PSY-202-01",8,4,4,"2018SU",16,2,2,13,5,5,14,4,4,"PSY","OL"
"REL-103",15,18,"REL-103-01",10,3,3,"2018SU",16,2,2,18,0,0,16,2,2,"REL","OL"
"SOC-101",27,26,"SOC-101-01",32,1,-1,"2018SU",28,2,-2,25,1,1,27,1,-1,"SOC","OL"
"SOC-103",20,18,"SOC-103-01",23,2,-2,"2018SU",21,3,-3,22,4,-4,21,3,-3,"SOC","OL"
"SPA-101",25,33,"SPA-101-01",31,8,8,"2018SU",28,5,5,31,2,2,28,5,5,"SPA","OL"
"SPA-101",25,30,"SPA-101-02",29,5,5,"2018SU",27,3,3,28,2,2,27,3,3,"SPA","OL"
"SPA-101",21,14,"SPA-101-04",20,7,-7,"2018SU",21,7,-7,19,5,-5,20,6,-6,"SPA","OL"
"SPA-102",30,31,"SPA-102-01",33,1,1,"2018SU",30,1,1,31,0,0,30,1,1,"SPA","OL"
"SPA-103",25,33,"SPA-103-01",28,8,8,"2018SU",27,6,6,24,9,9,25,8,8,"SPA","OL"
"SPE-101",13,10,"SPE-101-01",15,3,-3,"2018SU",15,5,-5,17,7,-7,15,5,-5,"SPE","TUETHU"
"WLD-104",16,14,"WLD-104-01",16,2,-2,"2018SU",14,0,0,13,1,1,14,0,0,"WLD","MONTUETHUFRISATSUN"
