SEC_NAME,CRS_NAME,Acad_Year,COURSES_ID,SEC_CAPACITY,NamePY,TERM,TERM_PY,ACTIVE_STUDENT_COUNT,SS_PY,Count_PY,WD_PY,DROP_PY,CC_PY,SEC_Count,AvgSecEnr3yr,AvgSecEnrto,CTE
ART-101-01,ART-101,2016,80,34,ART-101-01,2016FA,2015FA,8,5,6,1,3,0,1,12,12,0
ART-101-01,ART-101,2017,80,24,ART-101-01,2017FA,2016FA,16,7,8,0,7,0,1,10,11,0
ART-101-01,ART-101,2018,80,24,ART-101-01,2018FA,2017FA,12,15,16,1,5,0,1,11,12,0
ART-101-01,ART-101,2019,80,24,ART-101-01,2019FA,2018FA,16,11,12,0,0,0,1,11,12,0
ART-102-01,ART-102,2013,81,40,ART-102-01,2014WI,2013WI,9,8,9,2,12,0,1,30,11,0
ART-102-01,ART-102,2014,81,31,ART-102-01,2015WI,2014WI,11,8,9,1,10,0,1,18,10,0
ART-102-01,ART-102,2015,81,31,ART-102-01,2016WI,2015WI,7,9,11,0,1,0,1,12,10,0
ART-102-01,ART-102,2016,81,24,ART-102-01,2017WI,2016WI,14,6,7,1,8,0,1,10,10,0
ART-102-01,ART-102,2017,81,24,ART-102-01,2018WI,2017WI,12,9,14,4,5,0,1,11,11,0
ART-102-01,ART-102,2018,81,24,ART-102-01,2019WI,2018WI,9,11,12,0,1,0,1,12,11,0
ART-103-01,ART-103,2013,5268,40,ART-103-01,2014SP,2013SP,14,10,11,2,2,0,1,20,13,0
ART-103-01,ART-103,2014,5268,40,ART-103-01,2015SP,2014SP,14,13,14,1,1,0,1,15,14,0
ART-103-01,ART-103,2015,5268,40,ART-103-01,2016SP,2015SP,15,12,14,0,2,0,1,13,14,0
ART-103-01,ART-103,2016,5268,24,ART-103-01,2017SP,2016SP,12,13,15,0,0,0,1,14,14,0
ART-103-01,ART-103,2017,5268,29,ART-103-01,2018SP,2017SP,10,12,12,0,1,0,1,14,13,0
ART-103-01,ART-103,2018,5268,24,ART-103-01,2019SP,2018SP,14,10,10,1,3,0,1,13,13,0
ART-107-01,ART-107,2014,86,30,ART-107-01,2014FA,2013FA,21,18,29,8,12,0,1,40,37,0
ART-107-01,ART-107,2014,86,30,ART-107-01,2014SU,2013SU,16,12,23,6,6,0,1,20,23,0
ART-107-01,ART-107,2013,86,50,ART-107-01,2014WI,2013WI,25,14,20,3,10,0,1,58,23,0
ART-107-01,ART-107,2015,86,40,ART-107-01,2015FA,2014FA,22,14,21,3,9,0,1,30,30,0
ART-111-01,ART-111,2013,89,24,ART-111-01,2013FA,2012FA,16,16,17,0,3,0,1,33,17,0
ART-111-01,ART-111,2014,5532,24,ART-111-01,2014FA,2013FA,12,13,16,0,1,0,1,23,16,0
ART-111-01,ART-111,2017,5532,24,ART-111-01,2017FA,2016FA,7,10,13,0,1,0,1,14,14,0
ART-111-01,ART-111,2018,5532,24,ART-111-01,2018FA,2017FA,22,6,7,1,3,0,1,11,13,0
ART-111-01,ART-111,2019,5532,24,ART-111-01,2019FA,2018FA,6,21,22,1,2,0,1,14,15,0
ART-114-01,ART-114,2013,92,24,ART-114-01,2013FA,2012FA,19,13,17,0,7,0,1,32,17,0
ART-114-01,ART-114,2014,5534,24,ART-114-01,2014FA,2013FA,20,14,19,1,5,0,1,22,18,0
ART-114-01,ART-114,2015,5534,24,ART-114-01,2015FA,2014FA,15,14,20,2,5,0,1,18,19,0
ART-114-01,ART-114,2016,5534,24,ART-114-01,2016FA,2015FA,23,12,15,3,8,0,1,19,19,0
ART-114-01,ART-114,2017,5534,24,ART-114-01,2017FA,2016FA,18,22,23,1,3,0,1,21,20,0
ART-114-01,ART-114,2018,5534,24,ART-114-01,2018FA,2017FA,11,18,18,0,2,0,1,20,19,0
ART-114-01,ART-114,2019,5534,24,ART-114-01,2019FA,2018FA,11,7,11,2,5,0,1,18,18,0
ART-115-01,ART-115,2015,5655,24,ART-115-01,2016WI,2015WI,9,12,13,2,2,0,1,15,15,0
ART-115-01,ART-115,2016,5655,24,ART-115-01,2017WI,2016WI,3,7,9,0,3,0,1,13,13,0
ART-115-01,ART-115,2017,5655,24,ART-115-01,2018WI,2017WI,12,3,3,3,4,0,1,10,11,0
ART-115-01,ART-115,2018,5655,24,ART-115-01,2019WI,2018WI,12,11,12,1,5,0,1,10,11,0
ART-116-01,ART-116,2013,94,24,ART-116-01,2014SP,2013SP,8,9,14,2,8,0,1,34,16,0
ART-116-01,ART-116,2014,94,24,ART-116-01,2015SP,2014SP,7,7,8,2,6,0,1,21,13,0
ART-116-01,ART-116,2015,5656,24,ART-116-01,2016SP,2015SP,8,7,7,1,3,0,1,13,11,0
ART-116-01,ART-116,2016,5656,24,ART-116-01,2017SP,2016SP,7,7,8,2,5,0,1,11,11,0
ART-116-01,ART-116,2017,5656,24,ART-116-01,2018SP,2017SP,6,7,7,1,7,0,1,9,10,0
ART-116-01,ART-116,2018,5656,24,ART-116-01,2019SP,2018SP,14,4,6,4,9,0,1,9,10,0
ART-118-01,ART-118,2016,5535,24,ART-118-01,2017SP,2016SP,9,7,11,0,1,0,1,11,11,0
ART-118-01,ART-118,2017,5535,24,ART-118-01,2018SP,2017SP,17,8,9,0,0,0,1,10,10,0
ART-118-01,ART-118,2018,5535,24,ART-118-01,2019SP,2018SP,8,17,17,0,0,0,1,12,12,0
ART-119A-01,ART-119A,2014,5105,16,ART-119A-01,2015SP,2014SP,14,9,12,0,4,0,2,10,10,0
ART-119A-01,ART-119A,2014,5105,16,ART-119A-01,2015WI,2014WI,13,11,14,0,3,0,2,16,16,0
ART-119A-01,ART-119A,2016,5105,16,ART-119A-01,2016FA,2015FA,14,12,15,0,1,0,2,11,11,0
ART-119A-01,ART-119A,2015,5105,16,ART-119A-01,2016SP,2015SP,7,13,14,1,3,0,2,12,12,0
ART-119A-01,ART-119A,2015,5105,16,ART-119A-01,2016WI,2015WI,10,7,13,0,1,0,2,13,13,0
ART-119A-01,ART-119A,2017,5105,16,ART-119A-01,2017FA,2016FA,4,9,14,2,5,0,2,12,12,0
ART-119A-01,ART-119A,2016,5105,18,ART-119A-01,2017SP,2016SP,7,6,7,1,5,0,2,11,11,0
ART-119A-01,ART-119A,2016,5105,16,ART-119A-01,2017WI,2016WI,8,9,10,1,5,0,2,12,12,0
ART-119A-01,ART-119A,2018,5105,24,ART-119A-01,2018FA,2017FA,20,4,4,2,3,0,2,11,11,0
ART-119A-01,ART-119A,2017,5105,24,ART-119A-01,2018SP,2017SP,11,6,7,0,2,0,2,10,10,0
ART-119A-01,ART-119A,2017,5105,24,ART-119A-01,2018WI,2017WI,8,7,8,1,6,0,2,11,11,0
