CRS_NAME,COURSES_ID,TERM_REPORTING_YEAR,C4AP
PHS-117,5162,2017,6
PSY-101,4352,2015,14
PSY-111,4360,2015,3
DAN-109B,1523,2012,1
ECE-101,1671,2011,3
ECO-102,5547,2017,11
FIR-171C,5551,2015,2
GEG-134,2399,2012,2
HEA-149,2740,2018,11
CUL-106,1358,2020,8
CUL-128,1366,2015,1
CUL-163D,1398,2015,2
CUL-163M,1406,2011,2
CUL-172G,1430,2018,7
DAN-101,5272,2015,2
CAO-121,706,2016,1
CAO-157A,726,2020,5
CHM-116,838,2016,3
CIS-101,866,2012,2
CIS-135A,5081,2019,35
COU-120,988,2020,9
ART-142,198,2020,13
ART-216,5659,2018,6
ART-223,5660,2020,6
BIO-120,278,2015,2
COU-127,995,2013,2
DAN-111,1526,2012,1
SOC-103,4494,2011,4
SPA-154Q,4686,2011,2
WLD-112C,4954,2016,8
WLD-126B,5236,2013,2
WLD-146B,5045,2012,2
MAT-106,3147,2017,7
MUS-103,3261,2014,9
MUS-116D,5958,2020,5
MUS-130A,3308,2017,2
PEF-135M,5260,2017,1
POR-141,4346,2014,2
DAN-124A,1550,2012,1
DAN-127A,5133,2013,2
ECE-101,1671,2018,14
ENG-213,2061,2017,7
FIR-171B,5550,2019,1
GSE-106,2554,2019,1
ANT-108,50,2011,4
ART-112,5533,2020,1
ART-114,5534,2015,20
BIO-111,275,2018,19
BSN-102,5737,2019,34
BSN-251,557,2018,5
WLD-125B,5231,2014,2
SPA-154Q,5304,2017,2
SPA-156GG,4700,2018,6
SPA-157D,4704,2011,4
SPA-210,4822,2016,7
SPA-212,4824,2018,38
WLD-120C,5222,2020,1
MOA-238,3256,2011,4
PEF-101J,5395,2018,4
PEF-126C,5908,2020,3
PHS-117,5162,2016,4
PSY-101,4352,2019,38
SPA-154G,4678,2011,2
ECE-203,1831,2014,1
ECO-101,1836,2012,11
ETH-202A,2167,2015,5
FRE-101,2341,2019,9
GER-141,2454,2011,2
MAT-202,3234,2013,5
CAO-165A,733,2018,1
CHM-116,838,2017,5
CHN-141,859,2013,2
CIS-115,871,2015,2
CUL-162C,1392,2017,2
DAN-104B,1513,2012,1
ART-122,99,2012,3
ART-220B,5110,2016,3
ART-220C,5501,2018,6
ART-244,261,2012,5
BIO-102,271,2020,20
BSN-104,484,2015,11
SPA-199A,4815,2019,6
WLD-125A,5562,2016,2
WLD-127A,5409,2017,2
EVS-102,5643,2018,22
FIR-170B,5826,2017,2
FIR-172A,5552,2018,1
SNL-102,4454,2015,5
SPA-157H,4708,2013,4
SPA-180B,4735,2011,4
BSN-107,5503,2016,1
CAO-166,734,2012,1
CRJ-112,1296,2016,1
CUL-164B,1409,2014,1
ECE-124,5083,2019,8
ECE-203,1831,2019,4
ART-143,5769,2019,7
ART-240,259,2014,5
BIO-101,270,2015,10
BSN-102,5737,2020,30
BSN-125,498,2011,5
BSN-152A,510,2011,4
SPA-154F,5560,2018,6
SPA-160D,4716,2019,2
SPA-193B,4807,2017,1
SPA-221A,5966,2019,21
THE-111T,4874,2011,1
PET-103,4238,2013,1
PHY-207,4313,2019,18
POL-204,4340,2019,14
POL-206,4341,2018,14
PSY-202,4377,2019,14
SOC-102,4493,2015,6
CUL-172C,1426,2015,3
ECE-125,1685,2018,4
ETH-202B,2168,2012,5
ETH-203C,2172,2012,5
FIR-172D,5818,2020,4
ITA-102,3034,2017,1
ART-112,5533,2012,10
ART-128,100,2014,1
ASL-202,5783,2017,4
BIO-121,279,2019,5
BSN-107,5503,2017,3
BSN-115,490,2017,4
SPA-193B,4807,2012,4
THE-105,4846,2011,7
THE-106A,4847,2013,5
THE-108C,5171,2014,2
WLD-100,6164,2018,30
WLD-120C,5222,2014,2
PEF-140A,5299,2018,4
SPA-123A,4571,2019,7
SPA-156D,4694,2019,6
SPA-156E,4695,2020,5
SPA-170A,4725,2016,4
SPA-182,4738,2011,2
ENG-219F,2073,2012,1
GSE-103,2552,2011,6
ITA-141,3042,2019,1
MUS-119A,5160,2015,4
MUS-119B,5161,2014,4
MUS-141B,3420,2014,4
COU-109,984,2011,2
CRJ-101,1286,2012,11
CRJ-112,1296,2017,3
CUL-163C,1397,2011,2
DMA-112,1582,2014,5
ECE-202,1830,2018,9
ART-221A,5626,2018,17
ASL-102,5776,2017,4
BIO-115,276,2013,3
BSN-136,504,2019,6
CRJ-102,1287,2011,7
CRJ-104,1289,2017,3
THE-135B,5197,2014,3
WLD-107B,5315,2016,8
PEF-125B,5252,2019,4
PHS-111,4281,2018,13
PHY-106,4306,2019,18
SPA-122C,5729,2020,5
SPA-160C,4714,2011,2
SPE-102,4831,2015,8
DMA-112,1582,2013,4
ENG-113,1882,2013,5
FIR-102,2185,2016,2
GEG-113,2384,2011,3
MAT-201,3233,2017,22
MOA-238,3256,2020,9
ART-119B,5106,2019,1
ART-142,198,2018,15
ART-145B,201,2012,2
ART-239A,5113,2020,6
ART-242,5774,2018,1
BIO-203,324,2020,10
SPA-185A,4741,2018,6
SPA-199A,4815,2013,2
SPE-104,4833,2018,11
WLD-128C,5322,2014,2
WLD-140C,5040,2013,2
MUS-141C,3421,2017,2
PEF-101B,5390,2017,1
PEF-104B,5410,2016,1
PET-100,4235,2013,2
PHI-101,4239,2015,6
SPA-154N,4684,2011,2
FIR-105,2188,2012,2
GSE-111,2556,2015,4
HUM-101,2980,2017,3
HUM-102,2981,2019,8
MAT-105,3146,2013,5
MUS-126B,3297,2011,1
BIO-205,326,2013,5
BIO-205,326,2015,6
BSN-210,555,2012,2
CUL-163C,1397,2020,5
CUL-172D,1427,2019,6
ENG-107,1877,2011,8
ART-220B,5110,2018,6
CAO-110,705,2011,1
CHM-117,839,2014,3
CUL-226,1501,2017,2
DMA-111,1581,2013,1
DMA-121,1583,2016,1
WLD-116,4957,2015,8
SPA-124,4574,2014,4
SPA-156B,4691,2012,2
SPA-157B,4702,2016,4
SPA-160H,4723,2020,5
SPA-186B,4743,2015,2
SPE-104,4833,2014,4
ECE-127,1687,2013,1
GEG-108,2383,2011,3
MAT-102,3141,2015,3
MUS-141C,3421,2019,5
PHY-208,4314,2012,4
PHY-208,5681,2018,18
ANT-110,51,2012,2
ANT-110,51,2018,12
ART-122,5269,2014,3
ART-219E,5854,2019,6
BIO-121,279,2020,1
BIO-204,325,2013,6
PHY-108,4308,2018,18
PSY-109,5864,2018,13
SPA-156A,4689,2016,2
SPA-160EE,4718,2013,2
WLD-126A,4972,2012,2
MUS-123,3290,2011,2
MUS-134D,3407,2012,2
MUS-248B,5286,2017,2
PEF-135G,5261,2016,1
PHI-104,4243,2011,2
PHY-104,4304,2011,4
HIS-110,2846,2015,7
HIS-127B,5088,2020,20
HUM-102,2981,2018,12
MAT-103A,3143,2011,3
MAT-104,3145,2013,3
MUS-104C,3265,2012,6
CUL-114,1361,2016,2
ECE-121,1684,2012,1
